"","count"
"prepared",29
"inhaling",1
"compounds",4
"marijuana",23
"boon",1
"lungs",1
"pleasant",11
"feeling",26
"giddiness",1
"relaxation",4
"attraction",6
"tetrahydrocannabinol",1
"thc",1
"isn't",64
"known",54
"certainty",4
"what's",41
"electrical",2
"wires",2
"fell",47
"firefighters",12
"monitored",4
"energized",1
"lines",26
"pge",9
"arrived",20
"shut",20
"ticker",1
"tape",11
"unable",11
"overlook",3
"petrino's",2
"repeated",12
"failures",10
"disclose",12
"details",34
"affair",9
"noting",15
"following",45
"notes",36
"batters",3
"strikeouts",3
"walk",48
"cardinals",26
"multiple",18
"demonstrators",4
"sympathy",2
"file",17
"ordered",29
"manage",11
"protesters",12
"hadn't",13
"reaction",13
"doing",87
"enjoying",7
"excessive",12
"m",12
"casper",2
"wyo",2
"trekked",1
"denver",30
"demonstrations",5
"resulted",9
"overtime",14
"required",43
"phil",11
"taylor",21
"baylor",3
"defensive",40
"lineman",2
"conflicting",3
"advice",18
"collectors",6
"assessments",6
"administers",2
"conaway",1
"aug",31
"nobody",14
"wanted",91
"came",136
"himself",62
"bat",11
"frustration",7
"striking",9
"tampa",8
"bay",46
"rays",3
"entire",36
"recording",14
"studio",13
"boasts",5
"colorful",5
"mural",3
"rebecca's",1
"brother",40
"cox",1
"surprised",18
"palg",2
"merely",8
"nonprofit",19
"assists",15
"patients",41
"obtaining",3
"benefits",64
"lawfully",2
"entitled",5
"receive",39
"stated",8
"attorneys",18
"incorporated",4
"edmond",2
"defrank",1
"silverman",1
"legal",46
"getthin",1
"pseg",2
"overnight",18
"bergen",6
"counties",27
"restored",12
"wednesday",91
"dismissing",1
"hypocrisy",3
"lautenbergs",1
"comments",28
"norcross",2
"aside",24
"interesting",17
"sentiments",1
"begged",2
"jerseys",11
"campaigns",13
"reelection",15
"petition",10
"drive",77
"ban",22
"traffic",37
"cameras",20
"ended",34
"valid",5
"signatures",13
"easily",21
"surpassing",2
"organizers",14
"needed",57
"ballot",26
"euclid",3
"clerk",7
"council",87
"keith",8
"benjamin",3
"review",35
"underway",7
"determine",18
"meets",10
"requirements",8
"eligibility",6
"etchison",1
"lives",55
"newlydivorced",1
"unemployed",6
"named",42
"stephanie",6
"plum",5
"decides",3
"sleazy",2
"cousin's",1
"bail",15
"bond",17
"assignment",7
"tracking",7
"cop",3
"murder",26
"crush",8
"pretty",65
"convenient",3
"eh",1
"josh",11
"books",30
"pages",9
"magazine",17
"journalist",5
"covers",11
"behindthescenes",1
